id	dam	sire	Cohort	Immigrant
1	4497	4470	2001	0
2	4497	4470	2001	0
3	4497	4470	2001	0
4	4497	4470	2001	0
5	4497	4470	2001	0
6	4443	4435	2001	0
7	4443	4435	2001	0
8	NA	NA	2001	0
9	NA	NA	2001	0
10	NA	NA	2001	0
11	4447	4403	2001	0
12	NA	NA	2001	0
13	4447	4403	2001	0
14	NA	NA	2001	0
15	4496	4467	2001	0
16	4496	4467	2001	0
17	4497	4429	2001	0
18	NA	NA	2001	0
19	NA	NA	2001	0
20	4495	4429	2001	0
21	4495	4429	2001	0
22	4495	4429	2001	0
23	4495	4435	2001	0
24	4494	4418	2001	0
25	4494	4463	2001	0
26	NA	NA	2001	0
27	4494	4412	2001	0
28	4489	4275	2001	0
29	4489	4275	2001	0
30	NA	NA	2001	0
31	4489	4275	2001	0
32	4290	4412	2001	0
33	4290	4412	2001	0
34	4290	4412	2001	0
35	4290	4412	2001	0
36	4497	4429	2001	0
37	4500	4499	2001	0
38	4500	4499	2001	0
39	4500	4499	2001	0
40	4500	4499	2001	0
41	4437	4415	2001	0
42	4437	4415	2001	0
43	NA	NA	2001	0
44	4437	4415	2001	0
45	4438	4432	2001	0
46	4438	4403	2001	0
47	4438	4403	2001	0
48	4438	4403	2001	0
49	4436	4230	2001	0
50	4436	4230	2001	0
51	4436	4230	2001	0
52	4436	4230	2001	0
53	4436	4230	2001	0
54	4177	4153	2001	0
55	4177	4153	2001	0
56	4177	4153	2001	0
57	4177	4153	2001	0
58	4498	4409	2001	0
59	4498	4409	2001	0
60	4498	4409	2001	0
61	4498	4409	2001	0
62	4498	4409	2001	0
63	4178	4265	2001	0
64	4178	4265	2001	0
65	4178	4265	2001	0
66	4178	4265	2001	0
67	4434	4229	2001	0
68	4434	4229	2001	0
69	4434	4229	2001	0
70	4434	4229	2001	0
71	4408	4417	2001	0
72	4408	4417	2001	0
73	4408	4417	2001	0
74	NA	NA	2001	0
75	4137	4417	2001	0
76	4333	4274	2001	0
77	4333	4274	2001	0
78	4333	4274	2001	0
79	4333	4274	2001	0
80	4291	4158	2001	0
81	4291	4158	2001	0
82	4291	4158	2001	0
83	4291	4158	2001	0
84	4246	4406	2001	0
85	NA	NA	2001	0
86	4246	4406	2001	0
87	4246	4406	2001	0
88	4246	4406	2001	0
89	4465	4410	2001	0
90	4465	4410	2001	0
91	4465	4410	2001	0
92	4465	4410	2001	0
93	NA	NA	2001	0
94	4277	4247	2001	0
95	4277	4247	2001	0
96	4277	4247	2001	0
97	NA	NA	2001	0
98	4134	4295	2001	0
99	4134	4295	2001	0
100	4134	4295	2001	0
101	4255	4419	2001	0
102	4255	4419	2001	0
103	4255	4439	2001	0
104	4255	4419	2001	0
105	4255	4419	2001	0
106	4252	4419	2001	0
107	4255	4419	2001	0
108	4468	4477	2001	0
109	NA	NA	2001	0
110	4468	4477	2001	0
111	4468	4477	2001	0
112	4497	4470	2001	0
113	4497	4470	2001	0
114	4497	4470	2001	0
115	4497	4470	2001	0
116	4497	4470	2001	0
117	4157	4402	2001	0
118	4157	4483	2001	0
119	4157	4483	2001	0
120	4157	4483	2001	0
121	4217	4326	2001	0
122	4217	4326	2001	0
123	4217	4326	2001	0
124	NA	NA	2001	0
125	4217	4326	2001	0
126	4405	4463	2001	0
127	4405	4463	2001	0
128	4405	4463	2001	0
129	4447	4403	2001	0
130	4447	4403	2001	0
131	NA	NA	2001	0
132	4447	4403	2001	0
133	4447	4403	2001	0
134	4137	4435	2001	0
135	4137	4435	2001	0
136	4137	4135	2001	0
137	4137	4435	2001	0
138	NA	NA	2001	0
139	4437	4415	2001	0
140	4437	4415	2001	0
141	NA	NA	2001	0
142	4310	4211	2001	0
143	4443	4303	2001	0
144	4443	4303	2001	0
145	4189	4303	2001	0
146	4443	4303	2001	0
147	4290	4412	2001	0
148	4290	4412	2001	0
149	4290	4412	2001	0
150	4438	4432	2001	0
151	4438	4432	2001	0
152	4438	4432	2001	0
153	4438	4432	2001	0
154	NA	NA	2001	0
155	4494	4418	2001	0
156	4494	4418	2001	0
157	4494	4412	2001	0
158	4494	4135	2001	0
159	4500	4499	2001	0
160	4500	4499	2001	0
161	4177	4153	2001	0
162	4177	4153	2001	0
163	4177	4153	2001	0
164	4177	4153	2001	0
165	4177	4153	2001	0
166	4436	4230	2001	0
167	4436	4230	2001	0
168	4436	4230	2001	0
169	4436	4230	2001	0
170	4489	4275	2001	0
171	4489	4275	2001	0
172	4489	4275	2001	0
173	4489	4275	2001	0
174	4489	4275	2001	0
175	4468	4417	2001	0
176	4468	4417	2001	0
177	4468	4417	2001	0
178	4468	4417	2001	0
179	4434	4229	2001	0
